"filename", "language", "PHP", "MS SQL", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setautopagebreak.htm", "HTML", 0, 0, 33, 0, 0, 0, 1, 34
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setcompression.htm", "HTML", 0, 0, 31, 0, 0, 0, 1, 32
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setcreator.htm", "HTML", 0, 0, 34, 0, 0, 0, 1, 35
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setdisplaymode.htm", "HTML", 0, 0, 45, 0, 0, 0, 1, 46
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setdrawcolor.htm", "HTML", 0, 0, 41, 0, 0, 0, 1, 42
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setfillcolor.htm", "HTML", 0, 0, 40, 0, 0, 0, 1, 41
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setfont.htm", "HTML", 0, 0, 78, 0, 0, 0, 1, 79
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setfontsize.htm", "HTML", 0, 0, 25, 0, 0, 0, 1, 26
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setkeywords.htm", "HTML", 0, 0, 33, 0, 0, 0, 1, 34
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setleftmargin.htm", "HTML", 0, 0, 30, 0, 0, 0, 1, 31
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setlinewidth.htm", "HTML", 0, 0, 29, 0, 0, 0, 1, 30
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setlink.htm", "HTML", 0, 0, 34, 0, 0, 0, 1, 35
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setmargins.htm", "HTML", 0, 0, 37, 0, 0, 0, 1, 38
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setrightmargin.htm", "HTML", 0, 0, 28, 0, 0, 0, 1, 29
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/setsubject.htm", "HTML", 0, 0, 33, 0, 0, 0, 1, 34
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/settextcolor.htm", "HTML", 0, 0, 40, 0, 0, 0, 1, 41
"/opt/lampp/htdocs/proyecto-mauri/fpdf/doc/settitle.htm", "HTML", 0, 0, 33, 0, 0, 0, 1, 34
